material,chrome,temp,press,H2O,O2,SO2,NO2,H2S,rotate,time,CR,severity,Refs.
X65,0.074074074,0.142857143,0.196078431,0.00105021,0,0.004,0,0,1,0.110228401,0.005,1,[1]
X65,0.074074074,0.142857143,0.196078431,0.00105021,0,0,0.2,0,1,0.110228401,0.025,1,[1]
X65,0.074074074,0.142857143,0.196078431,0.00105021,0,0,0.2,0,1,0.01489573,0.205,3,[1]
X65,0.074074074,0.142857143,0.196078431,0.00105021,0.010638298,0,0,0,1,0.110228401,0.006,1,[1]
X65,0.074074074,0.142857143,0.196078431,0.00105021,0,0,0.05,0,1,0.01489573,0.127,2,[1]
X65,0.074074074,0.142857143,0.196078431,0.00105021,0.010638298,0,0.1,0,1,0.01489573,0.182,2,[1]
X65,0.074074074,0.142857143,0.196078431,0.00105021,0,0,0.2,0,1,0.046673287,0.088,2,[1]
X65,0.074074074,0.142857143,0.196078431,0.00105021,0,0,0.1,0,1,0.110228401,0.02,1,[1]
X65,0.074074074,0.142857143,0.196078431,0.00105021,0.010638298,0,0,0,1,0.110228401,0.005,1,[1]
X65,0.074074074,0.142857143,0.196078431,0.00105021,0.010638298,0,0.2,0,1,0.01489573,0.275,3,[1]
X65,0.074074074,0.142857143,0.196078431,0.00105021,0.010638298,0,0.05,0,1,0.01489573,0.116,2,[1]
X65,0.074074074,0.142857143,0.196078431,0.00105021,0.010638298,0,0.2,0,1,0.110228401,0.09,2,[1]
X65,0.092592593,0.142857143,0,0.001425285,0.877659574,0.2,0,0,0,0.01489573,3.7,4,[2]
X65,0.092592593,0.142857143,0,0.001425285,0.877659574,0.00078,0,0,0,0.01489573,0.025,1,[2]
X65,0.092592593,0.142857143,0,0.001425285,0,0.2,0,0,0,0.01489573,3.48,4,[2]
X65,0.092592593,0.142857143,0,0.00730146,0.877659574,0,0,0,0,0.01489573,0.01,1,[2]
X65,0.092592593,0.142857143,0,0.001425285,0,0.00078,0,0,0,0.078450844,0.019,1,[2]
X65,0.092592593,0.142857143,0,0.001425285,0,0.00078,0,0,0,0.01489573,0.032,1,[2]
X65,0.092592593,0.142857143,0,0.001425285,0.877659574,0,0,0,0,0.01489573,0.01,1,[2]
X65,0.092592593,0.142857143,0,1,0,0,0,0,0,0.01489573,0.4,4,[2]
X65,0.092592593,0,0,0.003125625,0,0,0,0.1,0,0.030784508,0.07,2,[3]
X65,0.092592593,0.314285714,0.392156863,0.003125625,0,0,0,0.1,0,0.030784508,0.41,4,[3]
X65,0.074074074,0,0.196078431,0.001025205,0,0.00276,0.191,0,1,0.110228401,0.017,1,[4]
X65,0.074074074,0,0.196078431,0.001025205,0,0.002,0,0,1,0.221449851,0.005,1,[4]
X65,0.074074074,0,0.196078431,0.00285057,0,0.00688,0,0,1,0.221449851,0.02,1,[4]
X65,0.074074074,0,0.196078431,0.001025205,0,0,0.096,0,1,0.046673287,0.17,2,[4]
X65,0.074074074,0,0.196078431,0.001025205,0,0,0.191,0,1,0.316782522,0.06,2,[4]
X65,0.074074074,0,0.196078431,0.00285057,0,0,0.478,0,1,0.157894737,1.6,4,[4]
X65,0.074074074,0,0.196078431,0.00285057,0,0,0.191,0,1,0.157894737,0.67,4,[4]
X65,0.074074074,0,0.196078431,0.001025205,0,0.00688,0,0,1,0.221449851,0.005,1,[4]
X65,0.092592593,0.142857143,0,0.001425285,0,0.01,0,0,0,0.01489573,0.05,2,[5]
X65,0.092592593,0.142857143,0,0.001425285,0,0.02,0,0,0,0.01489573,0.03,1,[5]
X65,0.092592593,0.142857143,0,0.001425285,0,0.2,0,0,0,0.01489573,3.5,4,[5]
X65,0,0.485714286,0.784313725,0.124824965,0,0,0,0,1,0.062562066,0.018,1,[6]
X65,0,0.6,1,0.124824965,0,0,0,0,1,0.062562066,0.015,1,[6]
X65,0,0.142857143,0.147058824,0.124824965,0,0,0,0,1,0.062562066,0.016,1,[6]
X65,0,0.314285714,0.539215686,0.124824965,0,0,0,0,1,0.062562066,0.045,1,[6]
X65,0,0.314285714,0.196078431,0.083141628,0,0,0,0,0,0.157894737,0.17,2,[7]
X65,0,0.314285714,0.196078431,0.083141628,0,0,0,0.025,0,0.157894737,0.24,3,[7]
X65,0.203703704,0.057142857,0,0.00680136,0,0,0,0,0,0.030784508,0.07,2,[8]
X65,0.203703704,0.142857143,0,0.006426285,0,0,0,0,0,0.030784508,0.014,1,[8]
X65,0.203703704,0.142857143,0,0.00380076,0,0,0,0,0,0.030784508,0,1,[8]
X65,0.203703704,0.057142857,0,0.00155031,0,0,0,0,0,0.030784508,0.004,1,[8]
X65,0.203703704,0.057142857,0,0.022179436,0,0,0,0,0,0.008275405,0.11,2,[8]
X65,0.203703704,0.057142857,0,0.022179436,0,0,0,0,0,0.030784508,0.1,2,[8]
X65,0.203703704,0.057142857,0,0.00055011,0,0,0,0,0,0.030784508,0.003,1,[8]
X65,0.203703704,0.057142857,0,0.084816963,0,0,0,0,0,0.110228401,0.03,1,[9]
X65,0.203703704,0.057142857,0,0.022179436,0.000425532,0.00004,0,0,0,0.030784508,0.105,2,[10]
X65,0.203703704,0.057142857,0,0.022179436,0.000425532,0.001,0,0,0,0.030784508,0.35,3,[10]
X65,0.203703704,0.057142857,0,0.022179436,0.000425532,0.002,0,0,0,0.030784508,0.7,4,[10]
X65,0.203703704,0.057142857,0,0.00280056,0,0,0,0,0,0.030784508,0.01,1,[11]
X65,0.203703704,0.057142857,0,0.00280056,0.000425532,0.001,0,0,0,0.030784508,0.01,1,[11]
X65,0.203703704,0.057142857,0,0.00280056,0.000425532,0.002,0,0,0,0.030784508,0.04,1,[11]
X65,0.203703704,0.057142857,0,0.084816963,0.000425532,0.001,0,0,0,0.030784508,0.4,4,[11]
X65,0.203703704,0.057142857,0,0.004225845,0.000425532,0.002,0,0,0,0.030784508,0.06,2,[11]
X65,0.203703704,0.057142857,0,0.004225845,0.000425532,0.001,0,0,0,0.030784508,0.03,1,[11]
X65,0.203703704,0.057142857,0,0.00055011,0.000425532,0.001,0,0,0,0.030784508,0.0033,1,[11]
X65,0.203703704,0.057142857,0,0.00055011,0.000425532,0.002,0,0,0,0.030784508,0.003,1,[11]
X65,0.203703704,0.057142857,0,0.004225845,0,0,0,0,0,0.030784508,0.03,1,[11]
X65,0.203703704,0.057142857,0,0.084816963,0.000425532,0.002,0,0,0,0.030784508,0.7,4,[11]
X65,0.203703704,0.142857143,0,0.084816963,0,0,0,0,0,0.008275405,0.09,2,[12]
X65,0.203703704,0.142857143,0,0.084816963,0,0,0,0,0,0.030784508,0.024,1,[12]
X65,0.203703704,0.142857143,0,0.084816963,0,0,0,0,0,0.01489573,0.03,1,[12]
X65,0.203703704,0.057142857,0,0.004225845,0.021276596,0,0,0,0,0.030784508,0.005,1,[13]
X65,0.203703704,0.057142857,0,0.084816963,0.021276596,0,0,0,0,0.030784508,0.03,1,[13]
X65,0.203703704,0.057142857,0,0.084816963,0.000425532,0,0,0,0,0.030784508,0.09,2,[13]
X65,0.203703704,0.057142857,0,0.084816963,0.010638298,0,0,0,0,0.030784508,0.07,2,[13]
X65,0.203703704,0.057142857,0,0.00680136,0.021276596,0,0,0,0,0.030784508,0.012,1,[13]
X65,0.203703704,0.057142857,0,0.022179436,0.021276596,0.002,0,0,0,0.030784508,1,4,[14]
X65,0.203703704,0.057142857,0,0.022179436,0,0.002,0,0,0,0.030784508,0.8,4,[14]
X65,0.088888889,0.057142857,0,0.008126625,0,0,0,0.5,0,0.046673287,0.19,2,[15]
X65,0.088888889,0.142857143,0,0.008126625,0,0,0,0.5,0,0.046673287,0.032,1,[15]
X65,0.088888889,0.057142857,0.196078431,0.008126625,0,0,0,0.5,0,0.046673287,0.072,2,[15]
X65,0.203703704,0.057142857,0,0.084816963,0,0,0.05,0,0,0.030784508,0.2,2,[16]
X65,0.203703704,0.057142857,0,0.084816963,0.021276596,0,0.1,0,0,0.030784508,0.3,3,[16]
X65,0.203703704,0.057142857,0,0.084816963,0.021276596,0,0.05,0,0,0.030784508,0.3,3,[16]
X65,0.203703704,0.057142857,0,0.084816963,0,0,0.1,0,0,0.030784508,0.22,3,[16]
X65,0,0,0,0.00130026,0,0,0,0,0,0.046673287,0.1,2,[17]
X65,0,0,0,0.855246049,0,0,0,0,0,0.046673287,0.38,3,[17]
X65,0,0.057142857,0,0.855246049,0,0,0,0,0,0.046673287,0.28,3,[17]
X65,0,0.057142857,0,0.00130026,0,0,0,0,0,0.046673287,0.05,2,[17]
X52,0.555555556,0.2,0.294117647,0.00230046,1,0.0014,0,0,0,0.110228401,0.072,2,[18]
X52,0.555555556,0.2,0.294117647,0.00130026,1,0.0014,0,0,0,0.110228401,0.031,1,[18]
X52,0.555555556,0.2,0.294117647,5.001E-05,1,0.0014,0,0,0,0.110228401,0.003,1,[18]
X52,0.555555556,0.2,0.294117647,5.001E-05,1,0.0014,0,0,0,0.110228401,0.019,1,[18]
X52,0.555555556,0.2,0.294117647,0.00230046,1,0.0014,0,0,0,0.110228401,0.051,2,[18]
X52,0.555555556,0.2,0.294117647,0.00130026,1,0.0014,0,0,0,0.110228401,0.024,1,[18]
X65,0,0.142857143,0.196078431,0.008126625,0.042553191,0,0,0,0,0.157894737,0.01,1,[19]
X65,0,0.142857143,0.196078431,0.008126625,0.042553191,0,0,1,0,0.157894737,0.34,3,[19]
X65,0,0.142857143,0.196078431,0.008126625,0,0,0,1,0,0.157894737,0.05,2,[19]
X65,0,0.142857143,0.196078431,0.008126625,0,0,0,0,0,0.157894737,0.005,1,[19]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0.021276596,0.02,0,0,0,0.078450844,1.034,4,[35]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0,0.02,0,0,0,0.078450844,0.469,4,[35]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0.021276596,0.02,0,0.5,0,0.078450844,1.439,4,[35]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0,0,0,0.5,0,0.078450844,0.127,2,[35]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0,0.02,0,0.5,0,0.078450844,1.224,4,[35]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0.021276596,0,0,0.5,0,0.078450844,0.221,3,[35]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0,0,0,0,0,0.078450844,0.015,1,[35]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0.021276596,0,0,0,0,0.078450844,0.034,1,[35]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0,0,0,0,0,0.01489573,0.039,1,[36]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0,0,1,0,0,0.01489573,1.76,4,[36]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0.021276596,0,0,0,0,0.01489573,0.078,2,[36]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0,0.02,0,0,0,0.01489573,1.86,4,[36]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0,0,0,0.5,0,0.01489573,0.375,3,[36]
X65,0.088888889,0.142857143,0.196078431,0.008126625,0,0,1,0,0,0.078450844,0.48,4,[36]
X70,0.564814815,0.142857143,0.196078431,0.008126625,0,0.012,0,0,0,0.078450844,0.345,3,[20]
X70,0.564814815,0.142857143,0.196078431,0.008126625,0,0,0,0,0,0.078450844,0.014,1,[20]
X70,0.564814815,0.142857143,0.196078431,0.008126625,0,0.004,0,0,0,0.078450844,0.269,3,[20]
X70,0.564814815,0.142857143,0.196078431,0.008126625,0.212765957,0,0,0,0,0.078450844,0.029,1,[20]
X70,0.564814815,0.142857143,0.196078431,0.008126625,0,0.02,0,0,0,0.078450844,0.423,4,[20]
X70,0.564814815,0.142857143,0.196078431,0.008126625,0.021276596,0.02,0,0,0,0.078450844,0.842,4,[20]
X70,0.564814815,0.142857143,0.196078431,0.008126625,0.021276596,0,0,0,0,0.078450844,0.027,1,[20]
X65,0.088888889,0.057142857,0,0.008126625,0,0,0,0.5,1,0.046673287,0.34,3,[21]
X65,0.088888889,0.057142857,0,0.008126625,0,0,0,0.5,0,0.046673287,0.19,2,[21]
X65,0.088888889,0.057142857,0,0.008126625,0,0,0,0.5,1,0.046673287,0.25,3,[21]
X65,0.088888889,0.057142857,0,0.008126625,0,0,0,0.5,1,0.046673287,0.19,2,[21]
X65,0.088888889,0.057142857,0,0.008126625,0,0,0,0.5,1,0.046673287,0.31,3,[21]
X65,0.088888889,0.142857143,0,0.833291658,0.021276596,0.02,0,0.5,0,0,26,4,[22]
X65,0.088888889,0.142857143,0,0.833291658,0.021276596,0.02,0,0.5,0,0.01489573,6,4,[22]
X65,0.088888889,0.142857143,0,0.833291658,0.021276596,0.02,0,0.5,0,0.046673287,2.6,4,[22]
X65,0.088888889,0.142857143,0,0.833291658,0.021276596,0.02,0,0.5,0,0.030784508,3.2,4,[22]
X65,0,0.142857143,0,0.083141628,0.002021277,0,0,0,0,0.062562066,0.91,4,[23]
X65,0,0.142857143,0,0.083141628,0.010106383,0,0,0,0,0.062562066,1.48,4,[23]
X65,0,0.142857143,0,0.083141628,0,0,0,0,0,0.062562066,0.25,3,[23]
X70,0.064814815,0.085714286,0.196078431,0.00480096,0,0,0,0,0,0.030784508,0.06,2,[24]
X70,0.064814815,0.085714286,0.196078431,0.00480096,0.004255319,0,0,0,0,0.030784508,0.09,2,[24]
X70,0.064814815,0.085714286,0.196078431,0.00480096,0.021276596,0,0,0,0,0.030784508,0.03,1,[24]
X70,0.064814815,0.085714286,0.196078431,0.00480096,0.021276596,0.01,0,0,0,0.030784508,0.6,4,[24]
X70,0.064814815,0.085714286,0.196078431,0.00480096,0,0.01,0,0,0,0.030784508,1.1,4,[24]
X70,0.064814815,0.085714286,0.196078431,0.00480096,0.004255319,0.01,0,0,0,0.030784508,1.24,4,[24]
X70,0.024074074,0.142857143,0.196078431,0.006626325,0.021276596,0.28,0,0,1,0.189672294,0.85,4,[25]
X70,0.024074074,0.142857143,0.196078431,0.006626325,0.021276596,0.14,0,0,1,0.189672294,0.7,4,[25]
X70,0.024074074,0.142857143,0.196078431,0.006626325,0.021276596,0.4,0,0,1,0.189672294,0.9,4,[25]
X70,0.024074074,0.142857143,0.196078431,0.006626325,0.021276596,0.04,0,0,1,0.189672294,0.2,2,[25]
X70,0.024074074,0.142857143,0.196078431,0.00320064,0.021276596,0.4,0,0,1,0.078450844,1.5,4,[26]
X70,0.024074074,0.142857143,0.196078431,0,0.021276596,0.4,0,0,1,0.078450844,0,1,[26]
X70,0.024074074,0.142857143,0.196078431,0.000875175,0.021276596,0.4,0,0,1,0.078450844,0.04,1,[26]
X70,0.024074074,0.142857143,0.196078431,0.00170034,0.021276596,0.4,0,0,1,0.078450844,0.88,4,[26]
X70,0.024074074,0.142857143,0.196078431,0.00130026,0.021276596,0.4,0,0,1,0.078450844,0.33,3,[26]
X70,0.024074074,0.142857143,0.196078431,0.001075215,0.021276596,0.4,0,0,1,0.078450844,0.07,2,[26]
X70,0,0.142857143,0.392156863,0.016853371,0.014893617,0.5,0,0,1,0.299569679,1.16,4,[27]
X70,0.024074074,0.142857143,0.196078431,0.00320064,0.023404255,0.4,0,0,1,0.078450844,1.45,4,[28]
X70,0.024074074,0.142857143,0.196078431,0.00320064,0.023404255,0.4,0,0,1,0.046673287,1.78,4,[28]
X70,0.024074074,0.142857143,0.196078431,0.00320064,0.023404255,0.4,0,0,1,0.12611718,0.7,4,[28]
X70,0.024074074,0.142857143,0.196078431,0.00320064,0.023404255,0.4,0,0,1,0.01489573,1.95,4,[28]
X70,0.024074074,0.142857143,0.196078431,0.005476095,0.212765957,0.4,0,0,1,0.078450844,2.5,4,[29]
X70,0.024074074,0.285714286,0.196078431,0.005476095,0.212765957,0.4,0,0,1,0.078450844,3.1,4,[29]
X70,0.024074074,0.388571429,0.196078431,0.005476095,0.212765957,0.4,0,0,1,0.078450844,1.3,4,[29]
X70,0.024074074,0,0.196078431,0.005476095,0.212765957,0.4,0,0,1,0.078450844,1.1,4,[29]
X70,0.325925926,0.142857143,0,0.00630126,0.021276596,0.06,0,0,1,0.046673287,0.09,2,[30]
X65,0.414814815,0.142857143,0,0.00630126,0.021276596,0.06,0,0,1,0.046673287,0.21,3,[30]
X65,0.414814815,0.142857143,0,0.00380076,0.021276596,0.06,0,0,1,0.046673287,0.03,1,[30]
X65,0.414814815,0.142857143,0,0.00480096,0.021276596,0.06,0,0,1,0.046673287,0.09,2,[30]
X70,0.325925926,0.142857143,0,0.00730146,0.021276596,0.06,0,0,1,0.046673287,0.29,3,[30]
X60,0.062962963,0.142857143,0,0.00730146,0.021276596,0.06,0,0,1,0.046673287,0.16,2,[30]
X70,0.325925926,0.142857143,0,0.00480096,0.021276596,0.06,0,0,1,0.046673287,0.09,2,[30]
X70,0.325925926,0.142857143,0,0.00630126,0.021276596,0.06,0,0,1,0.046673287,0.3,3,[30]
X65,0.414814815,0.142857143,0,0.00730146,0.021276596,0.06,0,0,1,0.046673287,0.3,3,[30]
X70,0.325925926,0.142857143,0,0.00730146,0.021276596,0.06,0,0,1,0.046673287,0.12,2,[30]
X60,0.062962963,0.142857143,0,0.00630126,0.021276596,0.06,0,0,1,0.046673287,0.1,2,[30]
X60,0.062962963,0.142857143,0,0.00380076,0.021276596,0.06,0,0,1,0.046673287,0.02,1,[30]
X70,0.325925926,0.142857143,0,0.00380076,0.021276596,0.06,0,0,1,0.046673287,0.06,2,[30]
X60,0.062962963,0.142857143,0,0.00480096,0.021276596,0.06,0,0,1,0.046673287,0.04,1,[30]
X70,0.325925926,0.142857143,0,0.00480096,0.021276596,0.06,0,0,1,0.046673287,0.01,1,[30]
X70,0.325925926,0.142857143,0,0.00380076,0.021276596,0.06,0,0,1,0.046673287,0.04,1,[30]
X52,0.555555556,0.2,0.196078431,0.00230046,0.172340426,0.0014,0.1,0,0,0.110228401,0.00003,1,[31]
X52,0.555555556,0.2,0.196078431,0.00105021,0.172340426,0.0014,0.1,0,0,0.475670308,0.004,1,[32]
X52,0.555555556,0.2,0.196078431,0.00230046,0.172340426,0.0014,0.1,0,0,0.475670308,0.013,1,[32]
X52,0.555555556,0.2,0.196078431,0.00230046,0.172340426,0.0014,0.1,0,0,0.110228401,0.025,1,[32]
X52,0.555555556,0.2,0.196078431,0.00130026,0.172340426,0.0014,0.1,0,0,0.475670308,0.006,1,[32]
X100,1,0.114285714,0.047058824,0.227120424,0,0,0,0,0,0.330023171,0.016,1,[33]
X100,1,0.114285714,0.196078431,0.227120424,0,0,0,0,0,0.330023171,0.04,1,[33]
X80,0.796296296,0.114285714,0.196078431,0.227120424,0,0,0,0,0,0.330023171,0.048,1,[33]
X42,0.018518519,0.114285714,0.029411765,0.227120424,0.70212766,0,0,0,0,0.330023171,0.017,1,[33]
X60,0,0.114285714,0.098039216,0.227120424,0.664893617,0,0,0,0,0.330023171,0.036,1,[33]
X42,0.018518519,0.114285714,0.098039216,0.227120424,0.664893617,0,0,0,0,0.330023171,0.052,2,[33]
X42,0.018518519,0.114285714,0.196078431,0.227120424,0.29787234,0,0,0,0,0.330023171,0.119,2,[33]
X42,0.018518519,0.114285714,0.047058824,0.227120424,0,0,0,0,0,0.330023171,0.02,1,[33]
X80,0.796296296,0.114285714,0.196078431,0.227120424,0.29787234,0,0,0,0,0.330023171,0.109,2,[33]
X100,1,0.114285714,0.196078431,0.227120424,0.29787234,0,0,0,0,0.330023171,0.086,2,[33]
X80,0.796296296,0.114285714,0.047058824,0.227120424,0,0,0,0,0,0.330023171,0.021,1,[33]
X60,0,0.114285714,0.029411765,0.227120424,0.70212766,0,0,0,0,0.330023171,0.014,1,[33]
