material,chrome,temp,press,H2O added,H2O,O2,SO2,NO2,H2S,time,CR,severity,Refs.
X65,0.04,50,10,0.5,0.5,0,200,0,0,168,0.005,1,"Brown et al., Energy Procedia, 2014."
X65,0.04,50,10,0.5,0.5,0,0,200,0,168,0.025,1,"Brown et al., Energy Procedia, 2014."
X65,0.04,50,10,0.5,0.5,0,0,200,0,24,0.205,3,"Brown et al., Energy Procedia, 2014."
X65,0.04,50,10,0.5,0.5,500,0,0,0,168,0.006,1,"Brown et al., Energy Procedia, 2014."
X65,0.04,50,10,0.5,0.5,0,0,50,0,24,0.127,2,"Brown et al., Energy Procedia, 2014."
X65,0.04,50,10,0.5,0.5,500,0,100,0,24,0.182,2,"Brown et al., Energy Procedia, 2014."
X65,0.04,50,10,0.5,0.5,0,0,200,0,72,0.088,2,"Brown et al., Energy Procedia, 2014."
X65,0.04,50,10,0.5,0.5,0,0,100,0,168,0.02,1,"Brown et al., Energy Procedia, 2014."
X65,0.04,50,10,0.5,0.5,500,0,0,0,168,0.005,1,"Brown et al., Energy Procedia, 2014."
X65,0.04,50,10,0.5,0.5,500,0,200,0,24,0.275,3,"Brown et al., Energy Procedia, 2014."
X65,0.04,50,10,0.5,0.5,500,0,50,0,24,0.116,2,"Brown et al., Energy Procedia, 2014."
X65,0.04,50,10,0.5,0.5,500,0,200,0,168,0.09,2,"Brown et al., Energy Procedia, 2014."
X65,0.05,50,8,0.65,0.65,41250,10000,0,0,24,3.7,4,"Choi and Nesic, Corrosion 2011, 2011."
X65,0.05,50,8,0.65,0.65,41250,39,0,0,24,0.025,1,"Choi and Nesic, Corrosion 2011, 2011."
X65,0.05,50,8,0.65,0.65,0,10000,0,0,24,3.48,4,"Choi and Nesic, Corrosion 2011, 2011."
X65,0.05,50,8,3,3,41250,0,0,0,24,0.01,1,"Choi and Nesic, Corrosion 2011, 2011."
X65,0.05,50,8,0.65,0.65,0,39,0,0,120,0.019,1,"Choi and Nesic, Corrosion 2011, 2011."
X65,0.05,50,8,0.65,0.65,0,39,0,0,24,0.032,1,"Choi and Nesic, Corrosion 2011, 2011."
X65,0.05,50,8,0.65,0.65,41250,0,0,0,24,0.01,1,"Choi and Nesic, Corrosion 2011, 2011."
X65,0.05,50,8,400,3.6,0,0,0,0,24,0.4,4,"Choi and Nesic, Corrosion 2011, 2011."
X65,0.05,25,8,1.33,1.33,0,0,0,200,48,0.07,2,"Choi et al., Corrosion, 2016."
X65,0.04,25,10,0.49,0.49,0,138,191,0,168,0.017,1,"Dugstad et al., Energy Procedia, 2013."
X65,0.04,25,10,0.49,0.49,0,100,0,0,336,0.005,1,"Dugstad et al., Energy Procedia, 2013."
X65,0.04,25,10,1.22,1.22,0,344,0,0,336,0.02,1,"Dugstad et al., Energy Procedia, 2013."
X65,0.04,25,10,0.49,0.49,0,0,96,0,72,0.17,2,"Dugstad et al., Energy Procedia, 2013."
X65,0.04,25,10,0.49,0.49,0,0,191,0,480,0.06,2,"Dugstad et al., Energy Procedia, 2013."
X65,0.04,25,10,1.22,1.22,0,0,478,0,240,1.6,4,"Dugstad et al., Energy Procedia, 2013."
X65,0.04,25,10,1.22,1.22,0,0,191,0,240,0.67,4,"Dugstad et al., Energy Procedia, 2013."
X65,0.04,25,10,0.49,0.49,0,344,0,0,336,0.005,1,"Dugstad et al., Energy Procedia, 2013."
X65,0.05,50,8,0.65,0.65,0,500,0,0,24,0.05,2,"Farelas et al., Corrosion, 2012."
X65,0.05,50,8,0.65,0.65,0,1000,0,0,24,0.03,1,"Farelas et al., Corrosion, 2012."
X65,0.05,50,8,0.65,0.65,0,10000,0,0,24,3.5,4,"Farelas et al., Corrosion, 2012."
X65,0,50,9.5,50,3.57,0,0,0,0,96,0.016,1,"Zhang et al., Corrosion 2011, 2011."
X65,0.11,35,8,2.8,2.8,0,0,0,0,48,0.07,2,"Hua et al., International Journal of Greenhouse Gas Control, 2014."
X65,0.11,50,8,2.65,"2,65",0,0,0,0,48,0.014,1,"Hua et al., International Journal of Greenhouse Gas Control, 2014."
